subscription_id,account_id,start_date,end_date,plan_tier_x,seats_x,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,industry,country,plan_tier_y,seats_y,signup_date,referral_source,is_trial_y,usage_count,usage_duration_secs,error_count,is_beta_feature,total_tickets,resolution_time_hours,satisfaction_score,reason_code,feedback_text,Churned,signup_month,tenure_months
S-486088,A-0cc442,2024-09-18,2026-02-12 22:02:11.429868,Pro,45,2205,26460,False,False,False,False,monthly,True,EdTech,US,Basic,45,2024-07-18,organic,False,75.0,26351.0,2.0,1.0,3.0,37.0,3.0,budget,too expensive,0,2024-07,17.066666666666666
S-13939b,A-86902e,2023-07-21,2024-08-03 00:00:00.000000,Pro,34,0,0,True,False,False,True,monthly,True,HealthTech,IN,Enterprise,34,2023-05-02,other,False,91.0,27744.0,7.0,0.0,9.0,40.888888888888886,3.5,features,No feedback,1,2023-05,12.633333333333333
S-9333c5,A-ef84cf,2024-06-06,2024-08-13 00:00:00.000000,Basic,8,152,1824,False,False,False,True,annual,False,EdTech,US,Enterprise,8,2024-03-01,partner,False,50.0,18476.0,1.0,1.0,5.0,34.8,4.333333333333333,support,too expensive,1,2024-03,2.2666666666666666
S-37e3ad,A-b30291,2024-04-25,2026-02-12 22:02:11.429868,Basic,5,95,1140,False,False,False,False,monthly,True,HealthTech,US,Basic,5,2024-04-05,event,True,19.0,5716.0,0.0,0.0,1.0,16.0,4.0,competitor,too expensive,0,2024-04,21.933333333333334
S-b17d04,A-e19ff6,2024-03-06,2026-02-12 22:02:11.429868,Pro,8,392,4704,False,False,False,False,monthly,True,Cybersecurity,UK,Enterprise,1,2023-07-28,partner,False,32.0,9121.0,6.0,1.0,3.0,30.666666666666668,4.666666666666667,unknown,missing features,0,2023-07,23.6
S-c27134,A-dec005,2024-03-31,2026-02-12 22:02:11.429868,Pro,21,0,0,True,False,False,False,monthly,True,HealthTech,US,Pro,21,2023-10-13,partner,False,33.0,8840.0,2.0,0.0,2.0,59.0,3.0,support,missing features,0,2023-10,22.766666666666666
S-3bd427,A-2e3bad,2024-12-04,2024-12-27 00:00:00.000000,Basic,61,1159,13908,False,False,False,True,monthly,True,FinTech,CA,Pro,61,2023-08-13,other,False,29.0,8277.0,0.0,0.0,5.0,31.4,3.5,features,missing features,1,2023-08,0.7666666666666667
S-82989b,A-f5641b,2024-11-30,2026-02-12 22:02:11.429868,Basic,31,589,7068,False,False,False,False,monthly,True,EdTech,US,Pro,31,2024-03-30,other,False,35.0,11574.0,1.0,1.0,4.0,47.5,3.0,features,too expensive,0,2024-03,14.633333333333333
S-082b15,A-aa9511,2024-02-09,2026-02-12 22:02:11.429868,Enterprise,97,19303,231636,False,False,False,False,annual,True,DevTools,US,Pro,23,2023-10-10,other,True,15.0,4161.0,0.0,1.0,2.0,56.5,4.0,competitor,No feedback,0,2023-10,24.466666666666665
S-434140,A-075038,2024-02-25,2026-02-12 22:02:11.429868,Pro,17,833,9996,False,False,False,False,annual,True,HealthTech,UK,Basic,17,2023-05-12,ads,False,77.0,23055.0,5.0,0.0,2.0,43.5,3.0,features,No feedback,0,2023-05,23.933333333333334
S-c07ede,A-cea1f0,2024-10-07,2026-02-12 22:02:11.429868,Pro,8,392,4704,False,False,False,False,annual,False,FinTech,US,Pro,8,2024-04-07,event,False,24.0,3954.0,1.0,0.0,5.0,42.2,4.333333333333333,Active,No feedback,0,2024-04,16.433333333333334
S-287914,A-a1b80b,2024-08-15,2026-02-12 22:02:11.429868,Pro,16,784,9408,False,False,False,False,annual,True,HealthTech,US,Basic,16,2023-11-27,organic,False,67.0,15295.0,6.0,1.0,4.0,41.0,4.0,budget,switched to competitor,0,2023-11,18.2
S-b3bd43,A-b2225d,2024-11-03,2026-02-12 22:02:11.429868,Pro,50,2450,29400,False,False,False,False,monthly,False,FinTech,US,Basic,47,2024-03-08,ads,False,84.0,28144.0,8.0,2.0,2.0,42.0,3.0,budget,too expensive,0,2024-03,15.533333333333333
S-4c82da,A-b9eed8,2024-08-01,2026-02-12 22:02:11.429868,Pro,11,539,6468,False,False,False,False,monthly,False,Cybersecurity,US,Basic,11,2024-02-23,organic,False,59.0,14403.0,6.0,1.0,5.0,29.2,3.75,pricing,switched to competitor,0,2024-02,18.666666666666668
S-c75159,A-bcf87c,2024-08-22,2024-09-28 00:00:00.000000,Enterprise,31,6169,74028,False,False,False,True,monthly,True,FinTech,US,Pro,10,2024-06-27,event,False,73.0,20907.0,5.0,2.0,2.0,63.0,4.0,Active,No feedback,1,2024-06,1.2333333333333334
S-b5643b,A-9f9299,2024-06-11,2026-02-12 22:02:11.429868,Enterprise,28,5572,66864,False,False,False,False,annual,False,FinTech,US,Enterprise,28,2023-09-02,organic,True,58.0,20209.0,6.0,1.0,5.0,36.2,5.0,features,missing features,0,2023-09,20.366666666666667
S-49a9aa,A-10b8f2,2023-06-16,2026-02-12 22:02:11.429868,Basic,51,969,11628,False,False,False,False,annual,True,HealthTech,DE,Basic,47,2023-01-11,organic,True,21.0,1995.0,2.0,1.0,3.0,46.333333333333336,4.333333333333333,support,too expensive,0,2023-01,32.4
S-2877e6,A-95b24a,2024-06-28,2026-02-12 22:02:11.429868,Enterprise,38,0,0,True,True,True,False,monthly,True,FinTech,US,Pro,38,2023-06-06,event,False,59.0,17410.0,1.0,3.0,5.0,21.2,4.25,Active,No feedback,0,2023-06,19.8
S-8c10c1,A-0651a4,2024-12-25,2026-02-12 22:02:11.429868,Enterprise,65,12935,155220,False,False,False,False,annual,True,HealthTech,FR,Pro,16,2024-10-16,organic,False,49.0,13689.0,5.0,0.0,4.0,29.25,4.0,support,too expensive,0,2024-10,13.8
S-d7d398,A-fb186e,2024-12-28,2026-02-12 22:02:11.429868,Enterprise,29,0,0,True,False,False,False,annual,True,EdTech,IN,Basic,29,2024-10-27,organic,False,124.0,37040.0,3.0,1.0,6.0,26.166666666666668,3.6666666666666665,Active,No feedback,0,2024-10,13.7
S-ddad91,A-40906c,2024-06-21,2026-02-12 22:02:11.429868,Enterprise,92,0,0,True,False,False,False,annual,False,EdTech,US,Basic,92,2024-03-27,ads,False,89.0,26898.0,0.0,2.0,5.0,29.2,3.75,Active,No feedback,0,2024-03,20.033333333333335
S-6762fa,A-40a557,2024-02-12,2026-02-12 22:02:11.429868,Enterprise,16,3184,38208,False,False,False,False,annual,True,Cybersecurity,AU,Pro,16,2023-12-03,partner,True,61.0,18545.0,2.0,0.0,7.0,30.571428571428573,3.6666666666666665,budget,switched to competitor,0,2023-12,24.366666666666667
S-bb1cf1,A-3a5ad8,2024-09-07,2026-02-12 22:02:11.429868,Enterprise,9,0,0,True,True,False,False,monthly,False,HealthTech,US,Enterprise,9,2023-12-05,organic,True,40.0,8803.0,3.0,0.0,4.0,44.75,4.5,Active,No feedback,0,2023-12,17.433333333333334
S-a805a5,A-2789e3,2024-09-18,2026-02-12 22:02:11.429868,Basic,33,627,7524,False,False,False,False,monthly,True,FinTech,US,Enterprise,11,2024-09-14,partner,False,53.0,15039.0,4.0,0.0,4.0,47.25,4.0,Active,No feedback,0,2024-09,17.066666666666666
S-da0a69,A-49b828,2023-05-11,2026-02-12 22:02:11.429868,Pro,6,294,3528,False,False,False,False,monthly,True,FinTech,IN,Pro,6,2023-05-05,ads,False,93.0,21277.0,6.0,2.0,3.0,13.666666666666666,3.5,Active,No feedback,0,2023-05,33.6
S-59c5d7,A-c16b88,2024-10-19,2026-02-12 22:02:11.429868,Basic,35,665,7980,False,True,False,False,monthly,True,HealthTech,US,Enterprise,23,2023-12-02,event,False,70.0,17401.0,2.0,1.0,3.0,48.333333333333336,3.0,competitor,switched to competitor,0,2023-12,16.033333333333335
S-d3faae,A-5c9849,2024-11-12,2026-02-12 22:02:11.429868,Basic,19,361,4332,False,False,False,False,monthly,True,EdTech,IN,Basic,19,2024-11-03,partner,False,0.0,0.0,0.0,0.0,4.0,59.5,4.0,unknown,too expensive,0,2024-11,15.233333333333333
S-73a4e4,A-993085,2024-09-09,2026-02-12 22:02:11.429868,Pro,31,1519,18228,False,False,False,False,monthly,True,HealthTech,US,Basic,31,2023-06-01,ads,True,58.0,25109.0,4.0,1.0,4.0,46.5,3.5,features,No feedback,0,2023-06,17.366666666666667
S-35c8a3,A-e4144b,2024-12-22,2026-02-12 22:02:11.429868,Enterprise,41,8159,97908,False,False,False,False,annual,True,EdTech,UK,Pro,41,2024-10-22,other,False,33.0,7866.0,1.0,0.0,3.0,57.0,4.0,Active,No feedback,0,2024-10,13.9
S-99fbf7,A-7dacce,2024-09-10,2026-02-12 22:02:11.429868,Enterprise,12,2388,28656,False,False,False,False,annual,True,Cybersecurity,CA,Enterprise,12,2024-09-10,event,False,65.0,18861.0,2.0,1.0,4.0,32.5,3.6666666666666665,features,switched to competitor,0,2024-09,17.333333333333332
S-e97b9f,A-a0ca4e,2024-03-16,2026-02-12 22:02:11.429868,Enterprise,12,2388,28656,False,False,False,False,annual,True,Cybersecurity,US,Pro,11,2024-03-08,ads,False,30.0,11788.0,4.0,0.0,6.0,39.166666666666664,3.8,Active,No feedback,0,2024-03,23.266666666666666
S-763d33,A-ef84cf,2024-07-25,2026-02-12 22:02:11.429868,Basic,23,437,5244,False,False,True,False,annual,False,EdTech,US,Enterprise,8,2024-03-01,partner,False,68.0,30204.0,3.0,2.0,5.0,34.8,4.333333333333333,support,too expensive,0,2024-03,18.9
S-323782,A-7920cc,2024-02-22,2026-02-12 22:02:11.429868,Basic,39,741,8892,False,False,False,False,monthly,True,Cybersecurity,FR,Pro,39,2023-11-23,ads,False,29.0,9042.0,0.0,0.0,7.0,32.857142857142854,4.333333333333333,Active,No feedback,0,2023-11,24.033333333333335
S-1cff18,A-2789e3,2024-10-03,2026-02-12 22:02:11.429868,Basic,11,209,2508,False,False,False,False,monthly,True,FinTech,US,Enterprise,11,2024-09-14,partner,False,46.0,12807.0,9.0,0.0,4.0,47.25,4.0,Active,No feedback,0,2024-09,16.566666666666666
S-ad39ef,A-e40f45,2024-08-25,2026-02-12 22:02:11.429868,Pro,21,0,0,True,True,False,False,annual,True,HealthTech,US,Pro,21,2024-04-18,organic,False,39.0,13353.0,3.0,0.0,7.0,26.714285714285715,4.333333333333333,budget,missing features,0,2024-04,17.866666666666667
S-bf806d,A-7c5768,2024-09-21,2026-02-12 22:02:11.429868,Basic,62,1178,14136,False,False,False,False,annual,True,HealthTech,UK,Enterprise,3,2024-03-02,event,False,38.0,14918.0,4.0,0.0,5.0,28.8,4.0,Active,No feedback,0,2024-03,16.966666666666665
S-36f6ec,A-ccb686,2024-08-16,2026-02-12 22:02:11.429868,Pro,21,1029,12348,False,True,False,False,monthly,True,DevTools,US,Basic,10,2024-01-22,other,False,34.0,11945.0,0.0,1.0,1.0,67.0,4.0,budget,switched to competitor,0,2024-01,18.166666666666668
S-aff55c,A-bb2f49,2024-01-14,2024-12-29 00:00:00.000000,Pro,8,0,0,True,False,False,True,monthly,True,Cybersecurity,US,Pro,8,2023-05-28,other,False,64.0,18823.0,2.0,0.0,3.0,22.333333333333332,4.0,Active,No feedback,1,2023-05,11.666666666666666
S-b9fc6c,A-2ebb4b,2023-06-16,2026-02-12 22:02:11.429868,Basic,41,779,9348,False,False,False,False,annual,True,HealthTech,US,Basic,41,2023-05-15,ads,False,44.0,11312.0,6.0,2.0,2.0,43.5,3.0,features,missing features,0,2023-05,32.4
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17 00:00:00.000000,Enterprise,20,3980,47760,False,False,False,True,monthly,True,Cybersecurity,UK,Enterprise,13,2024-06-14,event,False,75.0,24874.0,7.0,0.0,5.0,28.6,4.0,competitor,too expensive,1,2024-06,2.0
S-e912e6,A-a8d89d,2023-12-12,2026-02-12 22:02:11.429868,Enterprise,78,15522,186264,False,False,False,False,monthly,True,EdTech,US,Pro,13,2023-12-08,ads,False,47.0,12795.0,1.0,1.0,2.0,44.5,5.0,features,switched to competitor,0,2023-12,26.433333333333334
S-fef85a,A-7f8241,2024-08-06,2026-02-12 22:02:11.429868,Pro,34,1666,19992,False,False,False,False,annual,True,EdTech,US,Pro,34,2023-03-14,organic,False,69.0,9246.0,3.0,1.0,1.0,36.0,3.0,Active,No feedback,0,2023-03,18.5
S-36d5c9,A-54ecc2,2023-09-16,2026-02-12 22:02:11.429868,Enterprise,11,2189,26268,False,False,False,False,monthly,True,Cybersecurity,US,Enterprise,4,2023-06-11,partner,False,86.0,24459.0,5.0,1.0,5.0,37.4,5.0,unknown,missing features,0,2023-06,29.333333333333332
S-b9ff15,A-95b24a,2024-01-08,2026-02-12 22:02:11.429868,Enterprise,43,8557,102684,False,False,False,False,annual,False,FinTech,US,Pro,38,2023-06-06,event,False,53.0,18601.0,0.0,1.0,5.0,21.2,4.25,Active,No feedback,0,2023-06,25.533333333333335
S-10bd09,A-bbc346,2024-09-03,2026-02-12 22:02:11.429868,Basic,50,950,11400,False,False,False,False,annual,True,FinTech,US,Enterprise,19,2024-08-29,partner,False,42.0,9279.0,0.0,0.0,3.0,45.333333333333336,4.5,competitor,too expensive,0,2024-08,17.566666666666666
S-12bfc8,A-31ab9a,2024-12-06,2026-02-12 22:02:11.429868,Enterprise,29,5771,69252,False,False,False,False,monthly,False,FinTech,DE,Pro,3,2024-03-03,organic,False,60.0,30674.0,0.0,1.0,7.0,43.142857142857146,3.5,competitor,too expensive,0,2024-03,14.433333333333334
S-f5c472,A-faa28c,2024-07-09,2026-02-12 22:02:11.429868,Basic,48,912,10944,False,False,False,False,monthly,True,HealthTech,US,Enterprise,48,2024-01-30,organic,False,28.0,2864.0,0.0,1.0,4.0,52.25,4.666666666666667,features,missing features,0,2024-01,19.433333333333334
S-dbc1ca,A-8adedc,2024-04-24,2026-02-12 22:02:11.429868,Enterprise,14,2786,33432,False,False,False,False,annual,True,EdTech,US,Basic,4,2024-02-11,event,True,34.0,9293.0,5.0,1.0,4.0,49.25,4.0,Active,No feedback,0,2024-02,21.966666666666665
S-dc6dfd,A-e08cd3,2024-09-30,2026-02-12 22:02:11.429868,Pro,67,3283,39396,False,False,False,False,monthly,True,FinTech,US,Pro,67,2024-09-21,ads,True,33.0,10489.0,3.0,2.0,8.0,30.375,4.0,competitor,switched to competitor,0,2024-09,16.666666666666668
S-b2d472,A-bcf87c,2024-08-27,2024-12-11 00:00:00.000000,Enterprise,10,1990,23880,False,False,False,True,annual,False,FinTech,US,Pro,10,2024-06-27,event,False,57.0,20913.0,2.0,1.0,2.0,63.0,4.0,Active,No feedback,1,2024-06,3.533333333333333
S-9dfce0,A-e6afc1,2024-08-30,2026-02-12 22:02:11.429868,Pro,2,98,1176,False,False,False,False,annual,True,DevTools,US,Pro,1,2023-02-24,ads,False,58.0,9624.0,0.0,0.0,0.0,0.0,4.0,Active,No feedback,0,2023-02,17.7
S-9cb6a7,A-7f29a7,2024-12-21,2026-02-12 22:02:11.429868,Basic,41,779,9348,False,False,False,False,monthly,True,Cybersecurity,UK,Basic,41,2024-09-18,event,True,14.0,4186.0,0.0,0.0,1.0,24.0,4.0,unknown,switched to competitor,0,2024-09,13.933333333333334
S-dabcd2,A-3ce5b8,2024-09-22,2026-02-12 22:02:11.429868,Pro,28,0,0,True,False,False,False,monthly,True,FinTech,IN,Basic,8,2023-09-07,ads,False,85.0,29973.0,4.0,2.0,10.0,42.5,3.7142857142857144,features,too expensive,0,2023-09,16.933333333333334
S-8c3cc8,A-b2225d,2024-10-17,2026-02-12 22:02:11.429868,Basic,47,0,0,True,False,False,False,monthly,True,FinTech,US,Basic,47,2024-03-08,ads,False,35.0,9130.0,3.0,0.0,2.0,42.0,3.0,budget,too expensive,0,2024-03,16.1
S-2923fc,A-fa3095,2024-07-08,2026-02-12 22:02:11.429868,Enterprise,70,13930,167160,False,False,False,False,annual,True,FinTech,US,Basic,70,2023-09-03,ads,False,87.0,27528.0,5.0,1.0,5.0,49.2,5.0,support,missing features,0,2023-09,19.466666666666665
S-f0a2e5,A-55f257,2024-06-05,2026-02-12 22:02:11.429868,Basic,23,0,0,True,False,False,False,annual,True,FinTech,US,Basic,9,2023-12-21,organic,False,49.0,16855.0,2.0,1.0,6.0,43.166666666666664,5.0,Active,No feedback,0,2023-12,20.566666666666666
S-025bea,A-9affe6,2024-06-25,2026-02-12 22:02:11.429868,Pro,17,833,9996,False,True,False,False,monthly,True,Cybersecurity,US,Pro,7,2023-03-22,other,False,55.0,19774.0,0.0,0.0,3.0,58.0,3.0,features,missing features,0,2023-03,19.9
S-0e499f,A-296d7c,2024-08-17,2026-02-12 22:02:11.429868,Pro,16,784,9408,False,False,False,False,annual,False,DevTools,DE,Enterprise,2,2023-11-08,other,False,20.0,8835.0,0.0,0.0,5.0,50.4,3.75,budget,too expensive,0,2023-11,18.133333333333333
S-0267b7,A-65a46c,2024-10-17,2024-12-04 00:00:00.000000,Enterprise,13,0,0,True,False,False,True,monthly,True,HealthTech,US,Pro,1,2023-11-04,event,False,49.0,15046.0,2.0,0.0,8.0,45.125,4.0,Active,No feedback,1,2023-11,1.6
S-b5b9a5,A-812c5b,2024-07-25,2026-02-12 22:02:11.429868,Basic,55,1045,12540,False,False,False,False,monthly,True,DevTools,CA,Basic,55,2024-02-25,organic,False,49.0,13658.0,3.0,1.0,4.0,27.0,4.0,support,missing features,0,2024-02,18.9
S-8e45ba,A-7f8241,2023-12-13,2026-02-12 22:02:11.429868,Basic,34,646,7752,False,False,False,False,annual,False,EdTech,US,Pro,34,2023-03-14,organic,False,78.0,23488.0,4.0,0.0,1.0,36.0,3.0,Active,No feedback,0,2023-03,26.4
S-37ed34,A-d4ac0e,2024-07-07,2026-02-12 22:02:11.429868,Enterprise,20,3980,47760,False,False,False,False,annual,True,DevTools,UK,Basic,18,2024-04-20,ads,False,30.0,10263.0,4.0,0.0,4.0,21.0,3.5,Active,No feedback,0,2024-04,19.5
S-65dbf3,A-17939a,2024-12-28,2026-02-12 22:02:11.429868,Basic,36,684,8208,False,False,False,False,monthly,True,HealthTech,US,Basic,1,2024-12-26,organic,False,25.0,9045.0,0.0,0.0,7.0,38.0,4.5,Active,No feedback,0,2024-12,13.7
S-ce5450,A-0a282f,2024-12-25,2024-12-28 00:00:00.000000,Pro,8,0,0,True,False,False,True,annual,True,DevTools,US,Basic,1,2024-08-27,organic,False,80.0,24319.0,5.0,1.0,3.0,43.666666666666664,4.666666666666667,features,switched to competitor,1,2024-08,0.1
S-6c969d,A-855a48,2024-05-08,2026-02-12 22:02:11.429868,Basic,14,266,3192,False,False,False,False,monthly,False,EdTech,US,Pro,14,2023-12-22,partner,True,50.0,14290.0,1.0,1.0,5.0,39.6,3.6666666666666665,unknown,too expensive,0,2023-12,21.5
S-522aef,A-f3ff05,2024-08-22,2026-02-12 22:02:11.429868,Pro,4,196,2352,False,False,False,False,annual,True,FinTech,IN,Enterprise,2,2024-07-06,other,False,14.0,3374.0,0.0,1.0,3.0,42.666666666666664,3.5,unknown,too expensive,0,2024-07,17.966666666666665
S-82db05,A-417d2f,2024-12-09,2026-02-12 22:02:11.429868,Pro,26,1274,15288,False,False,False,False,monthly,True,Cybersecurity,IN,Pro,4,2023-07-04,partner,True,43.0,11259.0,3.0,0.0,6.0,43.5,4.333333333333333,budget,missing features,0,2023-07,14.333333333333334
S-162596,A-462d45,2024-02-29,2026-02-12 22:02:11.429868,Pro,18,0,0,True,False,False,False,monthly,True,Cybersecurity,US,Enterprise,11,2024-01-15,partner,True,23.0,4341.0,1.0,0.0,4.0,26.75,4.0,competitor,missing features,0,2024-01,23.8
S-f703bd,A-202b67,2024-09-04,2026-02-12 22:02:11.429868,Pro,11,539,6468,False,False,False,False,monthly,True,HealthTech,US,Pro,11,2024-03-22,organic,False,28.0,10852.0,1.0,1.0,4.0,36.75,4.666666666666667,pricing,No feedback,0,2024-03,17.533333333333335
S-a1d6ad,A-eafc6e,2024-09-01,2026-02-12 22:02:11.429868,Pro,27,1323,15876,False,False,False,False,monthly,True,DevTools,US,Pro,27,2023-07-06,partner,False,53.0,16538.0,3.0,1.0,1.0,64.0,4.0,pricing,No feedback,0,2023-07,17.633333333333333
S-8b1fc1,A-309e54,2024-12-26,2026-02-12 22:02:11.429868,Basic,15,0,0,True,False,False,False,monthly,True,DevTools,US,Pro,15,2024-12-09,other,False,46.0,15816.0,0.0,0.0,5.0,23.8,3.0,support,missing features,0,2024-12,13.766666666666667
S-09cdac,A-82861f,2024-07-31,2024-09-04 00:00:00.000000,Basic,41,779,9348,False,False,False,True,annual,True,DevTools,UK,Basic,41,2024-04-25,organic,False,101.0,25108.0,15.0,1.0,5.0,24.4,3.2,support,No feedback,1,2024-04,1.1666666666666667
S-fa5301,A-ba6516,2024-03-14,2026-02-12 22:02:11.429868,Pro,55,0,0,True,False,False,False,monthly,False,FinTech,US,Pro,27,2023-10-29,ads,False,40.0,12770.0,1.0,1.0,6.0,31.5,4.0,budget,No feedback,0,2023-10,23.333333333333332
S-69937b,A-08e34e,2024-08-08,2026-02-12 22:02:11.429868,Pro,14,686,8232,False,False,False,False,annual,False,EdTech,US,Basic,14,2024-06-27,event,False,29.0,8023.0,0.0,0.0,3.0,43.0,3.0,competitor,switched to competitor,0,2024-06,18.433333333333334
S-f2537d,A-e43bf7,2024-01-24,2026-02-12 22:02:11.429868,Pro,44,2156,25872,False,False,False,False,monthly,True,Cybersecurity,AU,Pro,44,2023-03-24,other,False,89.0,21635.0,4.0,0.0,5.0,27.4,4.0,pricing,missing features,0,2023-03,25.0
S-27f7b2,A-a1b80b,2024-04-03,2026-02-12 22:02:11.429868,Basic,38,722,8664,False,False,False,False,annual,True,HealthTech,US,Basic,16,2023-11-27,organic,False,60.0,14177.0,3.0,0.0,4.0,41.0,4.0,budget,switched to competitor,0,2023-11,22.666666666666668
S-9c2b8e,A-443f6f,2024-12-26,2026-02-12 22:02:11.429868,Basic,19,361,4332,False,True,False,False,annual,True,Cybersecurity,US,Basic,19,2024-12-07,organic,False,58.0,19192.0,5.0,1.0,4.0,28.0,4.666666666666667,Active,No feedback,0,2024-12,13.766666666666667
S-a4f26d,A-32728c,2023-05-21,2026-02-12 22:02:11.429868,Pro,20,980,11760,False,False,False,False,monthly,True,DevTools,US,Pro,20,2023-01-03,event,False,46.0,14024.0,1.0,0.0,2.0,34.5,3.5,support,switched to competitor,0,2023-01,33.266666666666666
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18 00:00:00.000000,Pro,53,2597,31164,False,False,False,True,annual,True,EdTech,US,Enterprise,53,2024-07-31,partner,False,69.0,17238.0,7.0,0.0,3.0,33.666666666666664,3.5,features,No feedback,1,2024-07,1.3
S-367dee,A-e19ff6,2024-06-29,2026-02-12 22:02:11.429868,Pro,1,49,588,False,False,False,False,annual,True,Cybersecurity,UK,Enterprise,1,2023-07-28,partner,False,29.0,15059.0,0.0,0.0,3.0,30.666666666666668,4.666666666666667,unknown,missing features,0,2023-07,19.766666666666666
